scenario,region,variables,unit,2020,2030,2050
S4,FR,Production|Electricity|Imports,TWh/year,17.1527227043444,36.3555233255467,131.718287070668
S4,FR,Balance|Electricity|Export-import balance,TWh/year,82.3358004866029,95.9685628343303,-8.328591251454
S4,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,3.05298360553691,5.27655170192531,10.995662396105
S4,FR,Production|Electricity|Storage|Battery,TWh/year,8.31716433710461E-06,1.46858221197768,13.9283041966689
S4,FR,Production|Electricity|Low to medium,TWh,1,1,1
S4,FR,Production|Electricity|Medium to high,TWh,1,1,1
S4,FR,Efficiency|Storage|Battery|Charge,%,85,90,90
S4,FR,Efficiency|Storage|Hydro|Pumped storage,%,70,75,80
S1,FR,Efficiency|Hydrogen|Electrolyzer,%,61,65,72
S1,FR,Production|Hydrogen|Transport|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Fossil fuel refineries|Steam methane reforming,TWh H2/year,4.3,0,0
S1,FR,Production|Hydrogen|Biofuel refineries|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to liquid|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh H2/year,7.3,6.1,4.9
S1,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh H2/year,2.3,7,5.7
S1,FR,Production|Hydrogen|Power to gas|Steam methane reforming,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Transport|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Fossil fuel refineries|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Biofuel refineries|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to liquid|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Ammonia|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Steel|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Chemicals|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
S1,FR,Production|Hydrogen|Power to gas|Steam methane reforming with Carbone Capture and Storage,TWh H2/year,0,0,0
